# GeoNames-derived (cities1000 via cities.json + all-the-cities feature codes, CC BY 4.0, geonames.org) — CA+US, lat-sorted; col6: 1=primary place, 0=city section/neighbourhood
Broadview Park	Florida	26.09953	-80.20866	US	1
Hidalgo	Texas	26.10035	-98.26307	US	1
Weston	Florida	26.10037	-80.39977	US	1
Lely	Florida	26.10065	-81.72842	US	1
Laguna Vista	Texas	26.10091	-97.29025	US	1
South Padre Island	Texas	26.10369	-97.16469	US	1
Laureles	Texas	26.10924	-97.49415	US	1
Melrose Park	Florida	26.11342	-80.19338	US	1
Green Valley Farms	Texas	26.12202	-97.56054	US	1
Fort Lauderdale	Florida	26.12231	-80.14338	US	1
Boulevard Gardens	Florida	26.12326	-80.17997	US	1
Broward Estates	Florida	26.12564	-80.19338	US	1
Llano Grande	Texas	26.1298	-97.96806	US	1
San Benito	Texas	26.13258	-97.6311	US	1
Washington Park	Florida	26.13259	-80.18116	US	1
Sunrise	Florida	26.13397	-80.1131	US	1
Plantation	Florida	26.13421	-80.23184	US	1
East Naples	Florida	26.13842	-81.76648	US	1
Scissors	Texas	26.1398	-98.05389	US	1
Lauderhill	Florida	26.14036	-80.21338	US	1
Roosevelt Gardens	Florida	26.14087	-80.18027	US	1
Naples	Florida	26.14234	-81.79596	US	1
Mercedes	Texas	26.1498	-97.91361	US	1
Rock Island	Florida	26.15509	-80.17699	US	1
Midway South	Texas	26.15694	-98.02011	US	1
South Alamo	Texas	26.15702	-98.10862	US	1
La Feria	Texas	26.15896	-97.82389	US	1
Weslaco	Texas	26.15952	-97.99084	US	1
Wilton Manors	Florida	26.16036	-80.13893	US	1
Lauderdale Lakes	Florida	26.16647	-80.20838	US	1
Donna	Texas	26.17035	-98.05195	US	1
Oakland Park	Florida	26.17231	-80.13199	US	1
Twin Lakes	Florida	26.18092	-80.16005	US	1
Alamo	Texas	26.18369	-98.12306	US	1
Midway North	Texas	26.18776	-98.01708	US	1
Golden Gate	Florida	26.18787	-81.69509	US	1
San Juan	Texas	26.18924	-98.15529	US	1
Harlingen	Texas	26.19063	-97.6961	US	1
